ProductId,name,main_category,sub_category,ratings,no_of_ratings,Price,Review,text,image_url
P000053,Flagship Camera Phone - Great Camera,electronics,smartphones,3.8,1640,208.87,"A game changer for my daily routine, so glad I bought it.","Flagship Camera Phone - Great Camera smartphones electronics great camera expandable storage bright display A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Smartphones+53&font=montserrat&bg=efefef&txt=333
P000054,Flagship Camera Phone - Fast Processor,electronics,smartphones,3.7,2407,165.28,"Stopped working after a short while, not great.","Flagship Camera Phone - Fast Processor smartphones electronics fast processor bright display sleek design Stopped working after a short while, not great.",https://placehold.co/400x300/png?text=Smartphones+54&font=montserrat&bg=efefef&txt=333
P000055,Rugged Outdoor Phone - Great Camera,electronics,smartphones,4.3,2665,93.57,"Stopped working after a short while, not great.","Rugged Outdoor Phone - Great Camera smartphones electronics great camera all-day battery sleek design Stopped working after a short while, not great.",https://placehold.co/400x300/png?text=Smartphones+55&font=montserrat&bg=efefef&txt=333
P000056,Rugged Outdoor Phone - Expandable Storage,electronics,smartphones,3.3,4304,188.17,"Works fine, though the build quality could be better.","Rugged Outdoor Phone - Expandable Storage smartphones electronics expandable storage all-day battery fast processor Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Smartphones+56&font=montserrat&bg=efefef&txt=333
P000057,Rugged Outdoor Phone - Great Camera,electronics,smartphones,3.3,4680,288.08,Excellent quality and does exactly what it promises.,Rugged Outdoor Phone - Great Camera smartphones electronics great camera fast processor all-day battery Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Smartphones+57&font=montserrat&bg=efefef&txt=333
P000058,Rugged Outdoor Phone - Great Camera,electronics,smartphones,4.9,3976,83.48,"Stopped working after a short while, not great.","Rugged Outdoor Phone - Great Camera smartphones electronics great camera fast processor sleek design Stopped working after a short while, not great.",https://placehold.co/400x300/png?text=Smartphones+58&font=montserrat&bg=efefef&txt=333
P000059,Rugged Outdoor Phone - Fast Processor,electronics,smartphones,4.1,860,176.0,Decent product overall but has a few minor annoyances.,Rugged Outdoor Phone - Fast Processor smartphones electronics fast processor sleek design great camera Decent product overall but has a few minor annoyances.,https://placehold.co/400x300/png?text=Smartphones+59&font=montserrat&bg=efefef&txt=333
P000060,Rugged Outdoor Phone - Bright Display,electronics,smartphones,4.0,3997,183.88,"Stopped working after a short while, not great.","Rugged Outdoor Phone - Bright Display smartphones electronics bright display sleek design great camera Stopped working after a short while, not great.",https://placehold.co/400x300/png?text=Smartphones+60&font=montserrat&bg=efefef&txt=333
P000061,14in Ultrabook - Powerful Gpu,electronics,laptops,4.3,443,131.4,"A game changer for my daily routine, so glad I bought it.","14in Ultrabook - Powerful Gpu laptops electronics powerful GPU high-res screen lightweight A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Laptops+61&font=montserrat&bg=efefef&txt=333
P000062,14in Ultrabook - Backlit Keyboard,electronics,laptops,4.5,4492,88.46,"A game changer for my daily routine, so glad I bought it.","14in Ultrabook - Backlit Keyboard laptops electronics backlit keyboard high-res screen fast SSD A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Laptops+62&font=montserrat&bg=efefef&txt=333
P000063,14in Ultrabook - Fast Ssd,electronics,laptops,4.9,743,136.99,"Well made and reliable, would buy again without hesitation.","14in Ultrabook - Fast Ssd laptops electronics fast SSD powerful GPU backlit keyboard Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Laptops+63&font=montserrat&bg=efefef&txt=333
P000064,14in Ultrabook - Fast Ssd,electronics,laptops,4.6,4681,149.02,"Good enough for the price, not amazing but does the job.","14in Ultrabook - Fast Ssd laptops electronics fast SSD long battery lightweight Good enough for the price, not amazing but does the job.",https://placehold.co/400x300/png?text=Laptops+64&font=montserrat&bg=efefef&txt=333
P000065,14in Ultrabook - Fast Ssd,electronics,laptops,3.2,4756,256.65,"Good enough for the price, not amazing but does the job.","14in Ultrabook - Fast Ssd laptops electronics fast SSD lightweight backlit keyboard Good enough for the price, not amazing but does the job.",https://placehold.co/400x300/png?text=Laptops+65&font=montserrat&bg=efefef&txt=333
P000066,14in Ultrabook - High-Res Screen,electronics,laptops,3.0,3432,141.75,Decent product overall but has a few minor annoyances.,14in Ultrabook - High-Res Screen laptops electronics high-res screen lightweight backlit keyboard Decent product overall but has a few minor annoyances.,https://placehold.co/400x300/png?text=Laptops+66&font=montserrat&bg=efefef&txt=333
P000067,Gaming Laptop 16GB - Powerful Gpu,electronics,laptops,3.6,2214,276.35,"Great value for the price, highly recommend to anyone.","Gaming Laptop 16GB - Powerful Gpu laptops electronics powerful GPU high-res screen long battery Great value for the price, highly recommend to anyone.",https://placehold.co/400x300/png?text=Laptops+67&font=montserrat&bg=efefef&txt=333
P000068,Gaming Laptop 16GB - Backlit Keyboard,electronics,laptops,3.6,4396,252.7,"Did not live up to the hype, a bit disappointed.","Gaming Laptop 16GB - Backlit Keyboard laptops electronics backlit keyboard powerful GPU long battery Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Laptops+68&font=montserrat&bg=efefef&txt=333
P000069,Gaming Laptop 16GB - High-Res Screen,electronics,laptops,3.2,3252,270.14,Decent product overall but has a few minor annoyances.,Gaming Laptop 16GB - High-Res Screen laptops electronics high-res screen lightweight backlit keyboard Decent product overall but has a few minor annoyances.,https://placehold.co/400x300/png?text=Laptops+69&font=montserrat&bg=efefef&txt=333
P000070,Gaming Laptop 16GB - Lightweight,electronics,laptops,3.4,3884,274.09,"Well made and reliable, would buy again without hesitation.","Gaming Laptop 16GB - Lightweight laptops electronics lightweight fast SSD backlit keyboard Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Laptops+70&font=montserrat&bg=efefef&txt=333
P000071,Gaming Laptop 16GB - Backlit Keyboard,electronics,laptops,4.2,263,242.43,"Absolutely love this, exceeded my expectations and works perfectly.","Gaming Laptop 16GB - Backlit Keyboard laptops electronics backlit keyboard powerful GPU fast SSD Absolutely love this, exceeded my expectations and works perfectly.",https://placehold.co/400x300/png?text=Laptops+71&font=montserrat&bg=efefef&txt=333
P000072,Gaming Laptop 16GB - Fast Ssd,electronics,laptops,4.9,4005,233.91,"A game changer for my daily routine, so glad I bought it.","Gaming Laptop 16GB - Fast Ssd laptops electronics fast SSD backlit keyboard powerful GPU A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Laptops+72&font=montserrat&bg=efefef&txt=333
P000073,2-in-1 Convertible Laptop - High-Res Screen,electronics,laptops,3.2,1012,156.31,Excellent quality and does exactly what it promises.,2-in-1 Convertible Laptop - High-Res Screen laptops electronics high-res screen backlit keyboard powerful GPU Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Laptops+73&font=montserrat&bg=efefef&txt=333
P000074,2-in-1 Convertible Laptop - Powerful Gpu,electronics,laptops,4.5,780,65.98,"Did not live up to the hype, a bit disappointed.","2-in-1 Convertible Laptop - Powerful Gpu laptops electronics powerful GPU long battery backlit keyboard Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Laptops+74&font=montserrat&bg=efefef&txt=333
P000075,2-in-1 Convertible Laptop - Lightweight,electronics,laptops,3.1,3059,188.73,"Stopped working after a short while, not great.","2-in-1 Convertible Laptop - Lightweight laptops electronics lightweight fast SSD powerful GPU Stopped working after a short while, not great.",https://placehold.co/400x300/png?text=Laptops+75&font=montserrat&bg=efefef&txt=333
P000076,2-in-1 Convertible Laptop - High-Res Screen,electronics,laptops,3.2,869,63.22,"Works fine, though the build quality could be better.","2-in-1 Convertible Laptop - High-Res Screen laptops electronics high-res screen lightweight fast SSD Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Laptops+76&font=montserrat&bg=efefef&txt=333
P000077,2-in-1 Convertible Laptop - Fast Ssd,electronics,laptops,4.1,3183,52.09,"Did not live up to the hype, a bit disappointed.","2-in-1 Convertible Laptop - Fast Ssd laptops electronics fast SSD backlit keyboard high-res screen Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Laptops+77&font=montserrat&bg=efefef&txt=333
P000078,2-in-1 Convertible Laptop - High-Res Screen,electronics,laptops,4.3,3500,282.77,"Works fine, though the build quality could be better.","2-in-1 Convertible Laptop - High-Res Screen laptops electronics high-res screen backlit keyboard lightweight Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Laptops+78&font=montserrat&bg=efefef&txt=333
P000079,Business Notebook - Lightweight,electronics,laptops,3.2,2373,48.89,"Well made and reliable, would buy again without hesitation.","Business Notebook - Lightweight laptops electronics lightweight long battery high-res screen Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Laptops+79&font=montserrat&bg=efefef&txt=333
P000080,Business Notebook - Lightweight,electronics,laptops,4.3,3056,129.43,"A game changer for my daily routine, so glad I bought it.","Business Notebook - Lightweight laptops electronics lightweight fast SSD backlit keyboard A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Laptops+80&font=montserrat&bg=efefef&txt=333
P000081,Business Notebook - Powerful Gpu,electronics,laptops,3.1,1588,131.34,"Works fine, though the build quality could be better.","Business Notebook - Powerful Gpu laptops electronics powerful GPU long battery lightweight Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Laptops+81&font=montserrat&bg=efefef&txt=333
P000082,Business Notebook - Long Battery,electronics,laptops,4.4,2831,197.91,"Works fine, though the build quality could be better.","Business Notebook - Long Battery laptops electronics long battery lightweight fast SSD Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Laptops+82&font=montserrat&bg=efefef&txt=333
P000083,Business Notebook - Backlit Keyboard,electronics,laptops,3.9,2747,191.54,"Did not live up to the hype, a bit disappointed.","Business Notebook - Backlit Keyboard laptops electronics backlit keyboard powerful GPU long battery Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Laptops+83&font=montserrat&bg=efefef&txt=333
P000084,Business Notebook - Long Battery,electronics,laptops,4.8,4432,156.05,"Works fine, though the build quality could be better.","Business Notebook - Long Battery laptops electronics long battery powerful GPU fast SSD Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Laptops+84&font=montserrat&bg=efefef&txt=333
P000085,Student Chromebook - High-Res Screen,electronics,laptops,4.0,4187,43.6,Excellent quality and does exactly what it promises.,Student Chromebook - High-Res Screen laptops electronics high-res screen long battery fast SSD Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Laptops+85&font=montserrat&bg=efefef&txt=333
P000086,Student Chromebook - Lightweight,electronics,laptops,3.7,1406,60.17,"Absolutely love this, exceeded my expectations and works perfectly.","Student Chromebook - Lightweight laptops electronics lightweight high-res screen powerful GPU Absolutely love this, exceeded my expectations and works perfectly.",https://placehold.co/400x300/png?text=Laptops+86&font=montserrat&bg=efefef&txt=333
