ProductId,name,brand,main_category,sub_category,ratings,no_of_ratings,Price,Review,image,text
P000011,Vantage 14in Ultrabook - Lightweight,Vantage,electronics,laptops,3.9,7861,168.14,Decent product overall but has a few minor annoyances.,https://picsum.photos/seed/P000011/300/300,Vantage 14in Ultrabook - Lightweight laptops electronics Vantage lightweight long battery backlit keyboard Decent product overall but has a few minor annoyances.
P000012,Peakline Gaming Laptop 16GB - Lightweight,Peakline,electronics,laptops,3.6,2254,267.47,"Impressive build and performance, five stars from me.",https://picsum.photos/seed/P000012/300/300,"Peakline Gaming Laptop 16GB - Lightweight laptops electronics Peakline lightweight high-res screen backlit keyboard Impressive build and performance, five stars from me."
P000013,NovaTech 2-in-1 Convertible Laptop - Long Battery,NovaTech,electronics,laptops,4.6,2573,16.9,Excellent quality and does exactly what it promises.,https://picsum.photos/seed/P000013/300/300,NovaTech 2-in-1 Convertible Laptop - Long Battery laptops electronics NovaTech long battery high-res screen powerful GPU Excellent quality and does exactly what it promises.
P000014,Peakline Business Notebook - Lightweight,Peakline,electronics,laptops,4.0,1294,67.71,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000014/300/300,"Peakline Business Notebook - Lightweight laptops electronics Peakline lightweight high-res screen powerful GPU Well made and reliable, would buy again without hesitation."
P000015,Lumo Student Chromebook - High-Res Screen,Lumo,electronics,laptops,4.3,4859,42.36,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000015/300/300,"Lumo Student Chromebook - High-Res Screen laptops electronics Lumo high-res screen powerful GPU long battery Great value for the price, highly recommend to anyone."
P000016,Kestrel USB-C Fast Charger - Compact,Kestrel,electronics,accessories,3.5,5599,387.92,"Stopped working after a short while, not great.",https://picsum.photos/seed/P000016/300/300,"Kestrel USB-C Fast Charger - Compact accessories electronics Kestrel compact fast charging durable braided cable Stopped working after a short while, not great."
P000017,Everly Wireless Charging Pad - Fast Charging,Everly,electronics,accessories,3.2,3578,186.66,"Works fine, though the build quality could be better.",https://picsum.photos/seed/P000017/300/300,"Everly Wireless Charging Pad - Fast Charging accessories electronics Everly fast charging universal fit sturdy aluminium Works fine, though the build quality could be better."
P000018,Foundry 4-Port USB Hub - Sturdy Aluminium,Foundry,electronics,accessories,4.7,1418,305.34,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000018/300/300,"Foundry 4-Port USB Hub - Sturdy Aluminium accessories electronics Foundry sturdy aluminium fast charging durable braided cable A game changer for my daily routine, so glad I bought it."
P000019,Lumo Laptop Stand - Tactile Switches,Lumo,electronics,accessories,4.3,5031,171.0,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000019/300/300,"Lumo Laptop Stand - Tactile Switches accessories electronics Lumo tactile switches universal fit durable braided cable A game changer for my daily routine, so glad I bought it."
P000020,NovaTech Mechanical Keyboard - Fast Charging,NovaTech,electronics,accessories,3.2,1160,238.36,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000020/300/300,"NovaTech Mechanical Keyboard - Fast Charging accessories electronics NovaTech fast charging universal fit compact A game changer for my daily routine, so glad I bought it."
P000021,Meridian Mirrorless Camera Kit - Sharp Optics,Meridian,electronics,cameras,4.2,2361,383.76,Excellent quality and does exactly what it promises.,https://picsum.photos/seed/P000021/300/300,Meridian Mirrorless Camera Kit - Sharp Optics cameras electronics Meridian sharp optics image stabilization great low light Excellent quality and does exactly what it promises.
P000022,Aurora 4K Action Camera - Waterproof Housing,Aurora,electronics,cameras,4.0,3895,375.63,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000022/300/300,"Aurora 4K Action Camera - Waterproof Housing cameras electronics Aurora waterproof housing image stabilization great low light Great value for the price, highly recommend to anyone."
P000023,NovaTech Compact Point-and-Shoot - Compact Body,NovaTech,electronics,cameras,4.0,6798,16.47,"Did not live up to the hype, a bit disappointed.",https://picsum.photos/seed/P000023/300/300,"NovaTech Compact Point-and-Shoot - Compact Body cameras electronics NovaTech compact body waterproof housing great low light Did not live up to the hype, a bit disappointed."
P000024,Lumo Webcam 1080p - Image Stabilization,Lumo,electronics,cameras,3.2,4434,271.52,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000024/300/300,"Lumo Webcam 1080p - Image Stabilization cameras electronics Lumo image stabilization compact body sharp optics Great value for the price, highly recommend to anyone."
P000025,NovaTech Instant Print Camera - Image Stabilization,NovaTech,electronics,cameras,3.2,4919,98.24,Okay but I expected more for the money.,https://picsum.photos/seed/P000025/300/300,NovaTech Instant Print Camera - Image Stabilization cameras electronics NovaTech image stabilization compact body fast autofocus Okay but I expected more for the money.
P000026,Foundry Programmable Drip Coffee Maker - Rich Flavor,Foundry,home & kitchen,coffee,4.6,6639,132.32,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000026/300/300,"Foundry Programmable Drip Coffee Maker - Rich Flavor coffee home & kitchen Foundry rich flavor keeps coffee hot durable build Great value for the price, highly recommend to anyone."
P000027,Peakline Espresso Machine - Compact Size,Peakline,home & kitchen,coffee,4.9,1449,25.6,"Did not live up to the hype, a bit disappointed.",https://picsum.photos/seed/P000027/300/300,"Peakline Espresso Machine - Compact Size coffee home & kitchen Peakline compact size easy to clean durable build Did not live up to the hype, a bit disappointed."
P000028,NovaTech French Press 1L - Fast Brewing,NovaTech,home & kitchen,coffee,4.8,5990,358.23,"Did not live up to the hype, a bit disappointed.",https://picsum.photos/seed/P000028/300/300,"NovaTech French Press 1L - Fast Brewing coffee home & kitchen NovaTech fast brewing easy to clean keeps coffee hot Did not live up to the hype, a bit disappointed."
P000029,NovaTech Cold Brew Maker - Easy To Clean,NovaTech,home & kitchen,coffee,3.7,7090,300.74,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000029/300/300,"NovaTech Cold Brew Maker - Easy To Clean coffee home & kitchen NovaTech easy to clean durable build fast brewing A game changer for my daily routine, so glad I bought it."
P000030,NovaTech Single-Serve Pod Brewer - Easy To Clean,NovaTech,home & kitchen,coffee,4.7,986,68.09,"Absolutely love this, exceeded my expectations and works perfectly.",https://picsum.photos/seed/P000030/300/300,"NovaTech Single-Serve Pod Brewer - Easy To Clean coffee home & kitchen NovaTech easy to clean durable build rich flavor Absolutely love this, exceeded my expectations and works perfectly."
P000031,Cobalt Non-Stick Frying Pan - Even Heating,Cobalt,home & kitchen,cookware,3.6,7984,388.96,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000031/300/300,"Cobalt Non-Stick Frying Pan - Even Heating cookware home & kitchen Cobalt even heating scratch resistant sturdy handle Great value for the price, highly recommend to anyone."
P000032,Meridian Stainless Steel Pot Set - Non-Stick Coating,Meridian,home & kitchen,cookware,3.3,1841,273.64,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000032/300/300,"Meridian Stainless Steel Pot Set - Non-Stick Coating cookware home & kitchen Meridian non-stick coating dishwasher safe scratch resistant Great value for the price, highly recommend to anyone."
P000033,Pulse Cast Iron Skillet - Even Heating,Pulse,home & kitchen,cookware,3.4,6915,288.44,"Good enough for the price, not amazing but does the job.",https://picsum.photos/seed/P000033/300/300,"Pulse Cast Iron Skillet - Even Heating cookware home & kitchen Pulse even heating scratch resistant sturdy handle Good enough for the price, not amazing but does the job."
P000034,Meridian Ceramic Baking Dish - Sturdy Handle,Meridian,home & kitchen,cookware,3.8,7420,125.97,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000034/300/300,"Meridian Ceramic Baking Dish - Sturdy Handle cookware home & kitchen Meridian sturdy handle premium finish even heating A game changer for my daily routine, so glad I bought it."
P000035,NovaTech Knife Block Set - Sturdy Handle,NovaTech,home & kitchen,cookware,4.8,3995,225.64,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000035/300/300,"NovaTech Knife Block Set - Sturdy Handle cookware home & kitchen NovaTech sturdy handle dishwasher safe scratch resistant Great value for the price, highly recommend to anyone."
P000036,Aurora Cordless Stick Vacuum - Smart Navigation,Aurora,home & kitchen,vacuum,4.9,3355,241.65,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000036/300/300,"Aurora Cordless Stick Vacuum - Smart Navigation vacuum home & kitchen Aurora smart navigation easy to empty powerful suction Well made and reliable, would buy again without hesitation."
P000037,Peakline Robot Vacuum Cleaner - Smart Navigation,Peakline,home & kitchen,vacuum,3.0,5310,333.14,Solid choice with a couple of small trade-offs.,https://picsum.photos/seed/P000037/300/300,Peakline Robot Vacuum Cleaner - Smart Navigation vacuum home & kitchen Peakline smart navigation easy to empty lightweight Solid choice with a couple of small trade-offs.
P000038,NovaTech Handheld Car Vacuum - Easy To Empty,NovaTech,home & kitchen,vacuum,4.7,4850,244.42,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000038/300/300,"NovaTech Handheld Car Vacuum - Easy To Empty vacuum home & kitchen NovaTech easy to empty long runtime quiet motor Well made and reliable, would buy again without hesitation."
P000039,Everly Upright Bagless Vacuum - Powerful Suction,Everly,home & kitchen,vacuum,4.7,2196,105.15,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000039/300/300,"Everly Upright Bagless Vacuum - Powerful Suction vacuum home & kitchen Everly powerful suction quiet motor long runtime A game changer for my daily routine, so glad I bought it."
P000040,Lumo Wet-Dry Vacuum - Quiet Motor,Lumo,home & kitchen,vacuum,3.1,846,241.02,Okay but I expected more for the money.,https://picsum.photos/seed/P000040/300/300,Lumo Wet-Dry Vacuum - Quiet Motor vacuum home & kitchen Lumo quiet motor lightweight smart navigation Okay but I expected more for the money.
P000041,Kestrel Digital Air Fryer - Energy Efficient,Kestrel,home & kitchen,small appliances,4.8,4790,119.61,"Did not live up to the hype, a bit disappointed.",https://picsum.photos/seed/P000041/300/300,"Kestrel Digital Air Fryer - Energy Efficient small appliances home & kitchen Kestrel energy efficient compact footprint fast cooking Did not live up to the hype, a bit disappointed."
P000042,NovaTech High-Speed Blender - Compact Footprint,NovaTech,home & kitchen,small appliances,3.3,447,28.93,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000042/300/300,"NovaTech High-Speed Blender - Compact Footprint small appliances home & kitchen NovaTech compact footprint fast cooking easy controls Well made and reliable, would buy again without hesitation."
P000043,Lumo Stand Mixer - Energy Efficient,Lumo,home & kitchen,small appliances,4.0,5889,341.64,"Did not live up to the hype, a bit disappointed.",https://picsum.photos/seed/P000043/300/300,"Lumo Stand Mixer - Energy Efficient small appliances home & kitchen Lumo energy efficient easy controls compact footprint Did not live up to the hype, a bit disappointed."
P000044,Foundry Electric Kettle - Compact Footprint,Foundry,home & kitchen,small appliances,4.1,1998,171.17,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000044/300/300,"Foundry Electric Kettle - Compact Footprint small appliances home & kitchen Foundry compact footprint fast cooking easy controls Great value for the price, highly recommend to anyone."
P000045,Everly Toaster Oven - Fast Cooking,Everly,home & kitchen,small appliances,4.7,858,370.54,"Did not live up to the hype, a bit disappointed.",https://picsum.photos/seed/P000045/300/300,"Everly Toaster Oven - Fast Cooking small appliances home & kitchen Everly fast cooking energy efficient easy controls Did not live up to the hype, a bit disappointed."
P000046,Aurora Running Sneakers - Breathable,Aurora,fashion,shoes,4.6,7836,313.56,"Did not live up to the hype, a bit disappointed.",https://picsum.photos/seed/P000046/300/300,"Aurora Running Sneakers - Breathable shoes fashion Aurora breathable comfortable lightweight Did not live up to the hype, a bit disappointed."
P000047,Brightside Leather Ankle Boots - Stylish Look,Brightside,fashion,shoes,4.0,7736,189.42,"Stopped working after a short while, not great.",https://picsum.photos/seed/P000047/300/300,"Brightside Leather Ankle Boots - Stylish Look shoes fashion Brightside stylish look breathable good grip Stopped working after a short while, not great."
P000048,Foundry Canvas Slip-Ons - Good Grip,Foundry,fashion,shoes,4.0,1122,171.42,"Absolutely love this, exceeded my expectations and works perfectly.",https://picsum.photos/seed/P000048/300/300,"Foundry Canvas Slip-Ons - Good Grip shoes fashion Foundry good grip stylish look durable sole Absolutely love this, exceeded my expectations and works perfectly."
P000049,Brightside Trail Hiking Shoes - Breathable,Brightside,fashion,shoes,3.8,1467,124.38,"Works fine, though the build quality could be better.",https://picsum.photos/seed/P000049/300/300,"Brightside Trail Hiking Shoes - Breathable shoes fashion Brightside breathable comfortable durable sole Works fine, though the build quality could be better."
P000050,Cobalt Classic Loafers - Stylish Look,Cobalt,fashion,shoes,4.1,2630,340.64,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000050/300/300,"Cobalt Classic Loafers - Stylish Look shoes fashion Cobalt stylish look good grip lightweight Well made and reliable, would buy again without hesitation."
P000051,Lumo Laptop Backpack - Padded Straps,Lumo,fashion,bags,3.6,1417,87.34,"Good enough for the price, not amazing but does the job.",https://picsum.photos/seed/P000051/300/300,"Lumo Laptop Backpack - Padded Straps bags fashion Lumo padded straps many pockets water resistant Good enough for the price, not amazing but does the job."
P000052,Cobalt Leather Tote Bag - Padded Straps,Cobalt,fashion,bags,3.2,4916,292.48,"Impressive build and performance, five stars from me.",https://picsum.photos/seed/P000052/300/300,"Cobalt Leather Tote Bag - Padded Straps bags fashion Cobalt padded straps sleek design durable zippers Impressive build and performance, five stars from me."
P000053,Vantage Travel Duffel - Padded Straps,Vantage,fashion,bags,4.6,3256,314.79,Okay but I expected more for the money.,https://picsum.photos/seed/P000053/300/300,Vantage Travel Duffel - Padded Straps bags fashion Vantage padded straps spacious durable zippers Okay but I expected more for the money.
P000054,Brightside Crossbody Sling - Many Pockets,Brightside,fashion,bags,3.2,4722,249.54,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000054/300/300,"Brightside Crossbody Sling - Many Pockets bags fashion Brightside many pockets sleek design durable zippers Well made and reliable, would buy again without hesitation."
P000055,Peakline Waterproof Hiking Pack - Sleek Design,Peakline,fashion,bags,4.0,5823,321.3,Excellent quality and does exactly what it promises.,https://picsum.photos/seed/P000055/300/300,Peakline Waterproof Hiking Pack - Sleek Design bags fashion Peakline sleek design many pockets spacious Excellent quality and does exactly what it promises.
P000056,Meridian Minimalist Analog Watch - Water Resistant,Meridian,fashion,watches,3.2,962,42.38,Okay but I expected more for the money.,https://picsum.photos/seed/P000056/300/300,Meridian Minimalist Analog Watch - Water Resistant watches fashion Meridian water resistant long battery comfortable band Okay but I expected more for the money.
P000057,Lumo Digital Sports Watch - Long Battery,Lumo,fashion,watches,3.7,5907,306.91,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000057/300/300,"Lumo Digital Sports Watch - Long Battery watches fashion Lumo long battery accurate time scratch-proof glass Well made and reliable, would buy again without hesitation."
P000058,Foundry Smartwatch Fitness Tracker - Long Battery,Foundry,fashion,watches,3.3,1265,374.96,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000058/300/300,"Foundry Smartwatch Fitness Tracker - Long Battery watches fashion Foundry long battery comfortable band water resistant Great value for the price, highly recommend to anyone."
P000059,Vantage Chronograph Steel Watch - Long Battery,Vantage,fashion,watches,4.9,2889,195.91,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000059/300/300,"Vantage Chronograph Steel Watch - Long Battery watches fashion Vantage long battery accurate time water resistant A game changer for my daily routine, so glad I bought it."
P000060,Meridian Classic Leather Strap Watch - Water Resistant,Meridian,fashion,watches,3.2,7609,341.41,Solid choice with a couple of small trade-offs.,https://picsum.photos/seed/P000060/300/300,Meridian Classic Leather Strap Watch - Water Resistant watches fashion Meridian water resistant elegant accurate time Solid choice with a couple of small trade-offs.
P000061,Foundry Cotton Crew T-Shirt - Machine Washable,Foundry,fashion,apparel,3.0,769,331.56,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000061/300/300,"Foundry Cotton Crew T-Shirt - Machine Washable apparel fashion Foundry machine washable wrinkle resistant soft fabric Well made and reliable, would buy again without hesitation."
P000062,Lumo Fleece Zip Hoodie - Wrinkle Resistant,Lumo,fashion,apparel,4.8,2418,314.27,"Absolutely love this, exceeded my expectations and works perfectly.",https://picsum.photos/seed/P000062/300/300,"Lumo Fleece Zip Hoodie - Wrinkle Resistant apparel fashion Lumo wrinkle resistant true to size warm Absolutely love this, exceeded my expectations and works perfectly."
P000063,Vantage Slim-Fit Chinos - Wrinkle Resistant,Vantage,fashion,apparel,4.7,350,399.65,"Works fine, though the build quality could be better.",https://picsum.photos/seed/P000063/300/300,"Vantage Slim-Fit Chinos - Wrinkle Resistant apparel fashion Vantage wrinkle resistant true to size soft fabric Works fine, though the build quality could be better."
P000064,NovaTech Rain Shell Jacket - Soft Fabric,NovaTech,fashion,apparel,3.1,7176,102.4,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000064/300/300,"NovaTech Rain Shell Jacket - Soft Fabric apparel fashion NovaTech soft fabric wrinkle resistant breathable Well made and reliable, would buy again without hesitation."
P000065,Lumo Merino Wool Sweater - Warm,Lumo,fashion,apparel,4.3,7275,10.13,"Impressive build and performance, five stars from me.",https://picsum.photos/seed/P000065/300/300,"Lumo Merino Wool Sweater - Warm apparel fashion Lumo warm soft fabric wrinkle resistant Impressive build and performance, five stars from me."
P000066,Aurora Adjustable Dumbbell Set - Durable,Aurora,sports & outdoors,fitness,4.7,1912,30.43,Okay but I expected more for the money.,https://picsum.photos/seed/P000066/300/300,Aurora Adjustable Dumbbell Set - Durable fitness sports & outdoors Aurora durable sturdy build comfortable Okay but I expected more for the money.
P000067,Cobalt Yoga Mat Non-Slip - Sturdy Build,Cobalt,sports & outdoors,fitness,4.7,3575,87.1,Okay but I expected more for the money.,https://picsum.photos/seed/P000067/300/300,Cobalt Yoga Mat Non-Slip - Sturdy Build fitness sports & outdoors Cobalt sturdy build comfortable versatile Okay but I expected more for the money.
P000068,Aurora Resistance Band Kit - Durable,Aurora,sports & outdoors,fitness,4.7,5041,68.84,"Good enough for the price, not amazing but does the job.",https://picsum.photos/seed/P000068/300/300,"Aurora Resistance Band Kit - Durable fitness sports & outdoors Aurora durable sturdy build comfortable Good enough for the price, not amazing but does the job."
P000069,Meridian Foam Roller - Durable,Meridian,sports & outdoors,fitness,5.0,5996,29.36,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000069/300/300,"Meridian Foam Roller - Durable fitness sports & outdoors Meridian durable good grip compact storage Well made and reliable, would buy again without hesitation."
P000070,Brightside Kettlebell 12kg - Versatile,Brightside,sports & outdoors,fitness,3.3,5678,43.95,"Stopped working after a short while, not great.",https://picsum.photos/seed/P000070/300/300,"Brightside Kettlebell 12kg - Versatile fitness sports & outdoors Brightside versatile sturdy build durable Stopped working after a short while, not great."
P000071,Meridian 2-Person Tent - Durable Materials,Meridian,sports & outdoors,camping,4.3,6982,64.89,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000071/300/300,"Meridian 2-Person Tent - Durable Materials camping sports & outdoors Meridian durable materials waterproof lightweight Well made and reliable, would buy again without hesitation."
P000072,Vantage Sleeping Bag -5C - Compact,Vantage,sports & outdoors,camping,4.3,5599,376.71,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000072/300/300,"Vantage Sleeping Bag -5C - Compact camping sports & outdoors Vantage compact keeps warm waterproof A game changer for my daily routine, so glad I bought it."
P000073,NovaTech Portable Camp Stove - Easy Setup,NovaTech,sports & outdoors,camping,3.2,7787,117.01,"Stopped working after a short while, not great.",https://picsum.photos/seed/P000073/300/300,"NovaTech Portable Camp Stove - Easy Setup camping sports & outdoors NovaTech easy setup waterproof keeps warm Stopped working after a short while, not great."
P000074,NovaTech LED Headlamp - Waterproof,NovaTech,sports & outdoors,camping,3.8,5078,168.24,"Works fine, though the build quality could be better.",https://picsum.photos/seed/P000074/300/300,"NovaTech LED Headlamp - Waterproof camping sports & outdoors NovaTech waterproof keeps warm lightweight Works fine, though the build quality could be better."
P000075,Foundry Insulated Water Bottle - Keeps Warm,Foundry,sports & outdoors,camping,3.8,3820,96.43,"Did not live up to the hype, a bit disappointed.",https://picsum.photos/seed/P000075/300/300,"Foundry Insulated Water Bottle - Keeps Warm camping sports & outdoors Foundry keeps warm waterproof compact Did not live up to the hype, a bit disappointed."
P000076,Lumo Road Bike Helmet - Aerodynamic,Lumo,sports & outdoors,cycling,4.3,5185,131.96,"Good enough for the price, not amazing but does the job.",https://picsum.photos/seed/P000076/300/300,"Lumo Road Bike Helmet - Aerodynamic cycling sports & outdoors Lumo aerodynamic easy to mount high visibility Good enough for the price, not amazing but does the job."
P000077,Peakline LED Bike Light Set - Adjustable Fit,Peakline,sports & outdoors,cycling,3.7,7694,296.79,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000077/300/300,"Peakline LED Bike Light Set - Adjustable Fit cycling sports & outdoors Peakline adjustable fit easy to mount lightweight A game changer for my daily routine, so glad I bought it."
P000078,Vantage Cycling Gloves - High Visibility,Vantage,sports & outdoors,cycling,4.6,4164,131.26,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000078/300/300,"Vantage Cycling Gloves - High Visibility cycling sports & outdoors Vantage high visibility comfortable padding aerodynamic Well made and reliable, would buy again without hesitation."
P000079,Vantage Bike Repair Kit - Adjustable Fit,Vantage,sports & outdoors,cycling,4.7,6575,118.0,"Absolutely love this, exceeded my expectations and works perfectly.",https://picsum.photos/seed/P000079/300/300,"Vantage Bike Repair Kit - Adjustable Fit cycling sports & outdoors Vantage adjustable fit high visibility lightweight Absolutely love this, exceeded my expectations and works perfectly."
P000080,Aurora Insulated Bidon Bottle - Easy To Mount,Aurora,sports & outdoors,cycling,3.0,5942,332.25,"Absolutely love this, exceeded my expectations and works perfectly.",https://picsum.photos/seed/P000080/300/300,"Aurora Insulated Bidon Bottle - Easy To Mount cycling sports & outdoors Aurora easy to mount adjustable fit high visibility Absolutely love this, exceeded my expectations and works perfectly."
P000081,Cobalt Vitamin C Serum - Fragrance Free,Cobalt,beauty & personal care,skincare,3.2,4068,383.7,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000081/300/300,"Cobalt Vitamin C Serum - Fragrance Free skincare beauty & personal care Cobalt fragrance free fast absorbing suitable for sensitive skin A game changer for my daily routine, so glad I bought it."
P000082,Kestrel Daily Moisturizer SPF30 - Brightening,Kestrel,beauty & personal care,skincare,4.4,5502,160.03,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000082/300/300,"Kestrel Daily Moisturizer SPF30 - Brightening skincare beauty & personal care Kestrel brightening hydrating fragrance free Well made and reliable, would buy again without hesitation."
P000083,Pulse Gentle Face Cleanser - Lightweight,Pulse,beauty & personal care,skincare,3.3,5693,335.83,"Good enough for the price, not amazing but does the job.",https://picsum.photos/seed/P000083/300/300,"Pulse Gentle Face Cleanser - Lightweight skincare beauty & personal care Pulse lightweight fragrance free hydrating Good enough for the price, not amazing but does the job."
P000084,NovaTech Retinol Night Cream - Suitable For Sensitive Skin,NovaTech,beauty & personal care,skincare,3.3,7922,183.71,Okay but I expected more for the money.,https://picsum.photos/seed/P000084/300/300,NovaTech Retinol Night Cream - Suitable For Sensitive Skin skincare beauty & personal care NovaTech suitable for sensitive skin fast absorbing brightening Okay but I expected more for the money.
P000085,Foundry Hydrating Sheet Mask Set - Lightweight,Foundry,beauty & personal care,skincare,3.9,7351,78.92,Excellent quality and does exactly what it promises.,https://picsum.photos/seed/P000085/300/300,Foundry Hydrating Sheet Mask Set - Lightweight skincare beauty & personal care Foundry lightweight brightening hydrating Excellent quality and does exactly what it promises.
P000086,NovaTech Ionic Hair Dryer - Long Cord,NovaTech,beauty & personal care,hair care,4.0,2340,237.89,"Great value for the price, highly recommend to anyone.",https://picsum.photos/seed/P000086/300/300,"NovaTech Ionic Hair Dryer - Long Cord hair care beauty & personal care NovaTech long cord compact fast drying Great value for the price, highly recommend to anyone."
P000087,Cobalt Ceramic Straightener - Fast Drying,Cobalt,beauty & personal care,hair care,4.3,4451,270.72,Okay but I expected more for the money.,https://picsum.photos/seed/P000087/300/300,Cobalt Ceramic Straightener - Fast Drying hair care beauty & personal care Cobalt fast drying long cord reduces frizz Okay but I expected more for the money.
P000088,Brightside Argan Oil Shampoo - Long Cord,Brightside,beauty & personal care,hair care,3.7,4318,339.04,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000088/300/300,"Brightside Argan Oil Shampoo - Long Cord hair care beauty & personal care Brightside long cord compact even heat Well made and reliable, would buy again without hesitation."
